序号,时间,名称,日期
51,06:57:00,代码整洁之道,2024-05-20
52,06:56:00,从0到1: 开启商业与未来的秘密,2024-05-20
53,05:37:00,技术的本质：技术是什么，它是如何进化的（经典版）,2024-05-20
54,05:37:00,Quantum Mechanics: The Theoretical Minimum,2024-05-20
55,05:36:00,Quantum Mechanics: The Theoretical Minimum,2024-05-20
56,15:32:00,Learn You a Haskell for Great Good!: A Beginner's Guide,2024-05-19
57,12:53:00,Introduction to Data Science: Data Analysis and Prediction Algorithms with R,2024-05-19
58,12:49:00,Introduction to Data Science-Data Analysis and Prediction Algorithms with R,2024-05-19
59,12:49:00,Data Analysis for the Life Sciences,2024-05-19
60,03:54:00,如何学习,2024-05-17
61,03:53:00,"思考，快与慢 = Thinking, Fast and Slow",2024-05-17
12,16:42:00,Algorithms to Live By: The Computer Science of Human Decisions,2024-05-16
62,08:12:00,A History of Mathematics: From Mesopotamia to Modernity,2024-05-16
63,08:12:00,A History of Mathematics: An Introduction,2024-05-16
64,08:12:00,数学沉思录：古今数学思想的发展与演变,2024-05-16
65,05:58:00,数学在19世纪的发展（第一卷）,2024-05-16
66,05:58:00,数学在19世纪的发展（第二卷）,2024-05-16
67,05:48:00,无知的游历,2024-05-16
68,05:48:00,退步集,2024-05-16
69,05:48:00,局部（全3册）,2024-05-16
70,05:45:00,陈丹青精选作品集（7册装）,2024-05-16
71,05:45:00,木心全集（典藏套装十六册）【（依据“晚年定稿”，还原木心作品本貌，完整作品首次集结成套，收录陈丹青“听课笔记”手稿内容 理想国出品）】,2024-05-16
72,06:11:00,近世数学史谈,2024-05-15
73,06:04:00,Data Science with Julia,2024-05-15
74,06:04:00,Julia - Bit by Bit: Programming for Beginners (Undergraduate Topics in Computer Science),2024-05-15
75,06:04:00,"Statistics with Julia: Fundamentals for Data Science, Machine Learning and Artificial Intelligence",2024-05-15
76,18:09:00,彭加勒,2024-05-14
77,18:05:00,无穷分析引论(上下),2024-05-14
78,18:04:00,The History of Mathematics: An Introduction,2024-05-14
79,17:35:00,数学杂谈,2024-05-14
80,17:35:00,代数基本概念,2024-05-14
81,17:34:00,泛函分析史(with bookmark),2024-05-14
82,17:34:00,对称的观念在19世纪的演变: Klein和Lie,2024-05-14
83,17:34:00,Langlands纲领和他的数学世界,2024-05-14
84,17:33:00,"惠更斯与巴罗, 牛顿与胡克: 数学分析与突变理论的起步, 从渐伸线到准晶体",2024-05-14
85,05:13:00,"Algorithms with JULIA: Optimization, Machine Learning, and Differential Equations Using the JULIA Language",2024-05-14
86,09:26:00,Computer Graphics from Scratch: A Programmer's Introduction to 3D Rendering,2024-05-13
87,09:26:00,Deep Learning and Physics,2024-05-13
88,09:26:00,Physics-based Deep Learning,2024-05-13
89,09:26:00,Machine Learning for the Physical Sciences: Fundamentals and Prototyping with Julia,2024-05-13
90,09:25:00,AI for Physics: Machine Learning the World from Nuclear to Cosmic Scales,2024-05-13
91,09:25:00,Deep Learning for Physics Research,2024-05-13
92,09:07:00,王志安谈治国理政 第一卷,2024-05-13
93,04:18:00,The Little Book of Deep Learning,2024-05-13
13,18:15:00,埃隆·马斯克传,2024-05-10
14,18:12:00,艾伦·图灵传,2024-05-10
15,18:12:00,爱因斯坦传,2024-05-10
16,18:06:00,阿西莫夫科幻圣经银河帝国1-15大全集被马斯克用火箭送上太空的神作讲述人类未来两万年的历史。人类想象力的极限,2024-05-10
17,14:36:00,"Zero to One: Notes on Startups, or How to Build the Future, highlighted",2024-05-10
18,14:36:00,從0到1：打開世界運作的未知祕密，在意想不到之處發現價值,2024-05-10
94,14:30:00,游戏玩家【“文明”系列造梦之作，献给所有为奇异想象心跳加速、彻夜难眠的你！】 (伊恩·M.班克斯“文明”系列),2024-05-10
95,14:30:00,腓尼基启示录（幻象文库）【“科技狂人”马斯克多次致敬，扎克伯格将其列入必读书单！当代科幻的颠覆之作，关于宇宙生命的恢弘想象和史诗性篇章！世界科幻大师“当代狄更斯”伊恩M.班克斯经典系列首次国内全线引进！】,2024-05-10
96,14:28:00,严厉的月亮,2024-05-10
97,14:28:00,贩卖怀疑的商人,2024-05-10
98,14:25:00,Ignition! An informal history of liquid rocket propellants,2024-05-10
99,14:25:00,Our Final Invention: Artificial Intelligence and the End of the Human Era Hardcover,2024-05-10
100,14:24:00,超级智能：路线图、危险性与应对策略,2024-05-10
101,14:24:00,富兰克林传,2024-05-10
102,14:23:00,银河系搭车客指南,2024-05-10
103,09:15:00,Google时代的工作方法,2024-05-08
104,09:15:00,Google工作整理术,2024-05-08
105,09:14:00,Google工作法（有野心把未来变现的公司是这样工作的！解密Google内部10倍速工作法，让你在AI时代走得比世界更快。）,2024-05-08
106,09:13:00,深度工作7步法：谷歌精英如何提升自己,2024-05-08
107,09:12:00,人有人的用处,2024-05-08
19,09:10:00,人有人的用处：控制论与社会,2024-05-08
20,08:52:00,"大脑的一天·鹈鹕丛书【企鹅图书经典非虚构丛书！牛津大学神经科学家，用跨学科的研究方法，以一个人的一天为实验情境，为读者揭示""意识""的科学奥秘！】",2024-05-08
21,08:52:00,结构是什么？（畅销40年不衰的企鹅经典，特斯拉CEO、硅谷钢铁侠埃隆·马斯克推荐读物）,2024-05-08
22,08:52:00,特斯拉传：实现不可能（硅谷钢铁侠埃隆·马斯克舍命狂奔背后的生存哲学，特斯拉官方传记）,2024-05-08
23,08:51:00,硅谷钢铁侠：埃隆·马斯克的冒险人生,2024-05-08
24,08:51:00,像火箭科学家一样思考：将不可能变为可能（亚马逊新书畅销榜TOP 4/年度非虚构类畅销榜TOP 20；Inc.杂志2020年度必读商业佳作TOP 6；版权狂销英、德、日、韩等14国；年度最有趣新人作家处女作 吴晓波/罗振宇/万维钢/刘润诚挚推荐 NASA、SpaceX绝境逢生的幕后花絮）,2024-05-08
25,08:42:00,爱、金钱和孩子：育儿经济学,2024-05-08
26,08:42:00,如何高效学习：1年完成麻省理工4年33门课程的整体性学习法,2024-05-08
27,08:41:00,小狗钱钱,2024-05-08
28,08:41:00,考试脑科学,2024-05-08
108,08:08:00,"Ordinary Differential Equations: Analysis, Qualitative Theory and Control",2024-05-07
109,08:08:00,A primer on the calculus of variations and optimal control theory,2024-05-07
110,08:08:00,"Theory of Applied Robotics: Kinematics, Dynamics, and Control (2nd Edition)",2024-05-07
111,08:06:00,Architectural Design of Multi-Agent Systems: Technologies and Techniques,2024-05-07
112,08:06:00,Real World Haskell,2024-05-07
113,08:06:00,Algorithms for Reinforcement Learning,2024-05-07
114,08:06:00,Command-Line Rust: A Project-Based Primer for Writing Rust CLIs,2024-05-07
115,05:09:00,Poor Charlies Almanack: The Wit and Wisdom of Charles T. Munger,2024-05-07
29,10:08:00,2018自动驾驶与人工智能研究报告1,2024-05-06
30,10:08:00,自动驾驶（前沿版）,2024-05-06
31,10:07:00,智能化未来：无人驾驶将如何改变我们的生活（谷歌、特斯拉、苹果、百度纷纷主动参与的技术竞争，将为我们的生活带来哪些改变？第一本系统介绍自动驾驶、让人脑洞大开的趣味与深度兼具之作。上市后日本亚马逊经管类图书中一度排名第一。）,2024-05-06
32,10:07:00,自动时代：无人驾驶重塑世界,2024-05-06
33,10:07:00,无人驾驶：人工智能将从颠覆驾驶开始，全面重构人类生活,2024-05-06
34,10:07:00,人工智能：智能驾驶,2024-05-06
35,09:58:00,A Pathway Into Number Theory,2024-05-06
36,09:57:00,Undergraduate Algebraic Geometry,2024-05-06
37,09:56:00,"Drive! - Henry Ford, George Selden, and the Race to Invent the Auto Age",2024-05-06
38,06:38:00,深入Windows编程,2024-05-06
39,18:33:00,"Numerical Methods and Optimization: Theory and Practice for Engineers (Springer Optimization and Its Applications, 187)",2024-05-04
40,18:28:00,凸优化,2024-05-04
41,18:28:00,"Introduction to Applied Linear Algebra: Vectors, Matrices, and Least Squares",2024-05-04
42,18:27:00,"Convex Optimization, Solutions Manual",2024-05-04
43,18:27:00,Convex Optimization,2024-05-04
44,15:04:00,tmux Taster,2024-05-03
45,15:03:00,GNU Emacs manual,2024-05-03
46,15:03:00,自由软件，自由社会：理查德·斯托曼选集,2024-05-03
47,15:03:00,自由软件，自由社会：理查德·斯托曼选集,2024-05-03
48,15:03:00,An Introduction to Programming in Emacs Lisp,2024-05-03
49,14:09:00,刷新：重新发现商业与未来,2024-05-03
50,14:08:00,弃长安,2024-05-03
51,05:45:00,Common Lisp Recipes: A Problem-Solution Approach,2024-05-03
52,05:44:00,Modern Vim: Craft Your Development Environment with Vim 8 and Neovim,2024-05-03
116,16:29:00,User Experience Design in the Era of Automated Driving,2024-04-30
117,16:28:00,Automated Driving and Driver Assistance Systems,2024-04-30
118,15:46:00,Multi-Agent Coordination: A Reinforcement Learning Approach,2024-04-30
119,15:45:00,Multi-Agent Machine Learning: A Reinforcement Approach,2024-04-30
120,15:45:00,Cooperative Control of Multi-Agent Systems: An Optimal and Robust Perspective,2024-04-30
121,15:45:00,Multi-Agent Machine Learning,2024-04-30
122,15:44:00,Agents and Multi-Agent Systems: Technologies and Applications 2018,2024-04-30
123,15:44:00,Multi-agent systems: simulation and applications,2024-04-30
124,15:44:00,Formation control of multi-agent systems: a graph rigidity approach,2024-04-30
125,15:44:00,Multi-Agent Coordination: A Reinforcement Learning Approach,2024-04-30
53,06:22:00,深度学习与计算机视觉：算法原理、框架应用与代码实现,2024-04-30
54,06:22:00,机器翻译,2024-04-30
55,06:22:00,人工智能之信息检索与推荐,2024-04-30
56,06:22:00,人工智能之知识图谱【文字版】,2024-04-30
57,06:21:00,机器翻译：统计建模与深度学习方法,2024-04-30
58,06:21:00,多智能体机器学习：强化学习方法.pdf,2024-04-30
126,06:36:00,Free as in Freedom (2.0): Richard Stallman and the Free Software Revolution,2024-04-29
127,06:36:00,只是为了好玩,2024-04-29
128,06:34:00,软件随想录: 程序员部落酋长Joel谈软件,2024-04-29
129,06:33:00,编程人生：15位软件先驱访谈录,2024-04-29
130,11:29:00,Hands-on Scala Programming,2024-04-28
131,11:25:00,Learn You a Haskell for Great Good!: A Beginner's Guide,2024-04-28
132,10:59:00,十八岁出门远行（独家首发）,2024-04-28
133,05:36:00,与社会学同游,2024-04-28
134,05:10:00,"C++ Template Metaprogramming: Concepts, Tools, and Techniques from Boost and Beyond",2024-04-28
135,05:10:00,Paul Dirac. The Man and His Work,2024-04-28
136,05:10:00,C++模板元编程,2024-04-28
137,05:09:00,C++ Template Metaprogramming in Practice: A Deep Learning Framework,2024-04-28
138,04:42:00,Zero to Production in Rust: An Opinionated Introduction to Backend Development,2024-04-28
139,20:01:00,华罗庚文集 数论卷I,2024-04-27
140,19:58:00,数学模型选谈,2024-04-27
141,19:58:00,华罗庚文集: 数论卷II 数论导引,2024-04-27
142,16:03:00,Modern Vim: Craft Your Development Environment with Vim 8 and Neovim,2024-04-27
143,07:19:00,重构：改善既有代码的设计（第2版）（异步图书）,2024-04-26
144,06:49:00,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",2024-04-26
145,06:47:00,Effective PyCharm,2024-04-26
146,06:37:00,AutoCAD 2021 VS Code Update: For AutoCAD Expert’s Visual LISP (AutoCAD Expert's Visual LISP Book 5),2024-04-26
147,06:43:00,Advanced Git: Understanding Git Collaboration & Workflows (2nd Edition),2024-04-25
148,06:43:00,Git Essentials,2024-04-25
149,06:43:00,Pro Git: Everything You Need to Know About Git,2024-04-25
150,06:43:00,Git: Learn Version Control with Git: A step-by-step Ultimate beginners Guide,2024-04-25
151,06:43:00,Head First Git,2024-04-25
152,05:04:00,终身成长：重新定义成功的思维模式 = Mindset: The New Psychology of Success,2024-04-25
153,04:57:00,交互式定理证明与程序开发：Coq归纳构造演算的艺术,2024-04-25
154,04:57:00,Computer Arithmetic and Formal Proofs: Verifying Floating-point Algorithms with the Coq System (Computer Engineering),2024-04-25
155,18:33:00,大教堂与集市（开源运动的《圣经》，中文版首次出版）,2024-04-24
156,18:22:00,On Lisp,2024-04-24
157,17:59:00,Practical Common Lisp,2024-04-24
158,17:59:00,Paradigms of artificial intelligence programming: case studies in Common Lisp,2024-04-24
159,17:59:00,ANSI Common LISP,2024-04-24
160,17:47:00,Visual Studio Code for Python Programmers,2024-04-24
161,17:47:00,Visual Studio Code 权威指南,2024-04-24
162,17:38:00,人月神话(40周年中文纪念版),2024-04-24
163,17:37:00,人月神话(二十周年纪念版),2024-04-24
164,17:10:00,Introduction to Fourier Analysis and Wavelets,2024-04-23
165,17:09:00,Primer on Wavelets and Their Scientific Applications,2024-04-23
166,08:30:00,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,2024-04-20
167,08:29:00,Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications (Third Early Release),2024-04-20
168,12:44:00,Introduction to Robotics Mechanics and Control 3rd edition,2024-04-17
169,12:43:00,机器人学导论（原书第4版）,2024-04-17
170,12:24:00,机器人动力学与控制,2024-04-17
171,05:45:00,Nonlinear Programming: An Introduction,2024-04-17
172,05:44:00,Systematic programming: an introduction,2024-04-17
173,18:46:00,Mathematics — The Music of Reason,2024-04-16
174,07:33:00,"Understanding Vision: Theory, Models, and Data",2024-04-16
175,05:32:00,"MATLAB Deep Learning: With Machine Learning, Neural Networks and Artificial Intelligence",2024-04-16
176,05:32:00,Digital Signal and Image Processing Using MATLAB,2024-04-16
177,05:29:00,Advanced engineering mathematics with MATLAB,2024-04-16
178,05:28:00,MATLAB: A Practical Introduction to Programming and Problem Solving,2024-04-16
179,05:27:00,Essential MATLAB for Engineers and Scientists,2024-04-16
180,05:27:00,"Digital signal and image processing using MATLAB®. Volume 3, Advances and applications : the Stochastic case",2024-04-16
181,05:27:00,"Digital Signal and Image Processing using MATLAB, Volume 2: Advances and Applications: The Deterministic Case",2024-04-16
182,05:27:00,Signals and Systems Using MATLAB,2024-04-16
183,18:57:00,Computational complexity theory,2024-04-10
184,18:57:00,Mathematics and Computation: A Theory Revolutionizing Technology and Science,2024-04-10
185,06:34:00,Haskell Data Analysis Cookbook,2024-04-10
186,06:31:00,Functional Design and Architecture,2024-04-10
187,06:31:00,"Haskell Cookbook: Build functional applications using Monads, Applicatives, and Functors",2024-04-10
188,05:50:00,Python函数式编程（第2版）（图灵图书）,2024-04-10
189,07:34:00,Haskell函数式编程入门（第2版）第1卷,2024-04-09
190,07:30:00,Haskell函数式编程入门（第2版）第2卷,2024-04-09
191,07:29:00,函数式编程思维 (图灵程序设计丛书),2024-04-09
192,05:55:00,Haskell: The Ultimate Beginner's Guide to Learn Haskell Programming Step by Step,2024-04-09
193,05:55:00,An Introduction to Functional Programming Through Lambda Calculus,2024-04-09
194,05:54:00,Haskell in Depth,2024-04-09
195,05:46:00,OpenCV计算机视觉编程攻略（第3版）,2024-04-09
196,05:46:00,Algebra: Third Edition,2024-04-09
59,18:43:00,Object-oriented programming in Common LISP: a programmer's guide to CLOS,2024-04-07
60,18:43:00,Natural Language Processing in Lisp: An Introduction to Computational Linguistics,2024-04-07
61,18:42:00,Scheme and The Art of Programming,2024-04-07
62,18:42:00,Paradigms of artificial intelligence programming: case studies in Common Lisp,2024-04-07
63,17:49:00,PyTorch生成对抗网络编程,2024-04-07
64,17:49:00,Machine Learning With PyTorch and Scikit-Learn,2024-04-07
65,17:49:00,Deep Learning With Pytorch,2024-04-07
66,17:49:00,"Machine Learning with Python Cookbook, 2nd Edition",2024-04-07
67,17:49:00,Machine Learning with TensorFlow - Second Edition,2024-04-07
197,14:35:00,Programming in Haskell,2024-04-07
198,14:35:00,Get Programming with Haskell,2024-04-07
199,14:35:00,Haskell Programming from First Principles,2024-04-07
200,05:36:00,A Survey of Modern Algebra: Fifth Edition,2024-04-07
201,05:36:00,近世代数概论（第5版）,2024-04-07
202,05:36:00,Ordinary differential equations,2024-04-07
203,05:28:00,"Computer Vision: Principles, Algorithms, Applications, Learning",2024-04-07
204,05:28:00,Computer Vision: Algorithms and Applications (Texts in Computer Science),2024-04-07
205,05:27:00,计算机视觉——算法与应用,2024-04-07
206,03:43:00,科学的反革命：理性滥用之研究（修订版）,2024-04-06
207,03:43:00,哈耶克作品,2024-04-06
208,04:03:00,"Digital and Kalman Filtering: An Introduction to Discrete-Time Filtering and Optimum Linear Estimation, Second Edition (Dover Books on Engineering)",2024-04-05
209,04:03:00,Kalman filtering and neural networks,2024-04-05
210,05:02:00,Differential and integral equations,2024-04-04
211,05:01:00,Principles of Differential and Integral Equations,2024-04-04
212,05:01:00,Differential Equations in Abstract Spaces,2024-04-04
213,04:56:00,Discrete Mathematics with Applications: Fifth Edition,2024-04-04
214,04:56:00,Infinitesimal Calculus,2024-04-04
215,04:56:00,A Panorama of Pure Mathematics (as Seen by N. Bourbaki),2024-04-04
216,04:56:00,Mathematical Methods in the Physical Sciences,2024-04-04
217,04:56:00,The Foundations of Mathematics,2024-04-04
218,04:56:00,Intuitive Understanding of Kalman Filtering with MATLAB,2024-04-04
219,19:13:00,Introduction to Random Signals and Applied Kalman Filtering with Matlab Exercises,2024-04-03
220,19:13:00,Kalman Filtering: with Real-Time Applications,2024-04-03
221,19:13:00,Bayesian Inference of State Space Models: Kalman Filtering and Beyond,2024-04-03
222,19:13:00,Lectures on Wiener and Kalman Filtering,2024-04-03
223,19:13:00,Linear Estimation,2024-04-03
224,19:13:00,Linear Systems,2024-04-03
225,13:24:00,"Introduction to Automata Theory, Languages, and Computations",2024-04-03
226,13:23:00,自动机理论、语言和计算导论（原书第2版）,2024-04-03
227,13:23:00,Next generation of data mining,2024-04-03
228,13:23:00,Randomized algorithms,2024-04-03
68,18:17:00,Dynamic Programming and Partial Differential Equations,2024-03-27
69,18:16:00,"Deep Learning with Python, Second Edition",2024-03-27
70,18:16:00,R语言实战 第2版 (图灵程序设计丛书),2024-03-27
71,18:16:00,深度强化学习实践(原书第2版),2024-03-27
72,18:14:00,自然语言处理实战,2024-03-27
73,18:14:00,大模型应用开发极简入门：基于 GPT-4 和 ChatGPT,2024-03-27
74,18:11:00,可视化微分几何和形式：一部五幕数学正剧,2024-03-27
75,18:11:00,Visual Complex Analysis: 25th Anniversary Edition,2024-03-27
76,18:10:00,Visual Differential Geometry and Forms: A Mathematical Drama in Five Acts,2024-03-27
229,11:13:00,A first course in the numerical analysis of differential equations,2024-03-27
230,06:50:00,"Optimal Transport for Applied Mathematicians: Calculus of Variations, PDEs, and Modeling",2024-03-27
231,06:50:00,Lectures on Optimal Transport,2024-03-27
232,06:50:00,"An Invitation to Optimal Transport, Wasserstein Distances, and Gradient Flows",2024-03-27
233,06:50:00,Optimal Transport: Theory and Applications,2024-03-27
234,06:43:00,Introduction to Deep Learning,2024-03-27
235,06:41:00,Deep Learning,2024-03-27
236,17:37:00,微积分学教程 三卷合一,2024-03-26
237,15:50:00,庞加莱猜想+追寻宇宙的形状,2024-03-26
238,12:52:00,Finite Element Procedures 2nd edition sixth printing 2019,2024-03-26
239,18:39:00,GPU Programming in MATLAB,2024-03-22
240,18:39:00,"Productive and Efficient Data Science with Python: With Modularizing, Memory profiles, and Parallel/GPU Processing",2024-03-22
241,18:36:00,"Parallel Computing for Data Science - With Examples in R, C++ and CUDA",2024-03-22
242,18:35:00,GPU Parallel Program Development Using CUDA,2024-03-22
243,18:35:00,Modern Data Mining Algorithms in C++ and CUDA C: Recent Developments in Feature Extraction and Selection Algorithms for Data Science,2024-03-22
244,18:35:00,CUDA C++ Programming Guide,2024-03-22
245,18:35:00,GPU高性能编程CUDA实战,2024-03-22
246,18:34:00,Programming in Parallel with CUDA: A Practical Guide,2024-03-22
247,18:33:00,CUDA C编程权威指南 (高性能计算技术丛书),2024-03-22
77,13:32:00,Numerical recipes in Fortran 77 and 90,2024-03-22
78,19:51:00,Numerical Recipes in Fortran 90,2024-03-21
79,15:08:00,"The Worlds I See: Curiosity, Exploration, and Discovery at the Dawn of AI",2024-03-21
248,12:58:00,The Art of Prompt Engineering with chatGPT: A Hands-On Guide,2024-03-21
249,07:48:00,蒋勋说红楼梦 修订版 第3版 套装共8册,2024-03-21
250,07:46:00,"OpenAI GPT For Python Developers: The art and science of developing intelligent apps with OpenAI GPT-3, DALL·E 2, CLIP, and Whisper. A comprehensive and example-rich guide",2024-03-21
251,07:45:00,Chatgpt Empowers Your Prompt Engineering with AI Tools,2024-03-21
252,07:45:00,"Advanced Engineering Mathematics, 10th Edition",2024-03-21
253,06:35:00,Probability in Banach Spaces: Isoperimetry and Processes,2024-03-21
254,06:34:00,The Generic Chaining: Upper and Lower Bounds for Stochastic Processes,2024-03-21
255,06:33:00,Upper and Lower Bounds for Stochastic Processes: Decomposition Theorems,2024-03-21
256,06:33:00,Mean Field Models for Spin Glasses: Volume II: Advanced Replica-Symmetry and Low Temperature,2024-03-21
257,06:33:00,What Is a Quantum Field Theory? A First Introduction for Mathematicians,2024-03-21
80,12:09:00,微分几何,2024-03-20
81,11:43:00,"Partial Differential Equations (Proceedings of Symposia in Pure Mathematics, vol. 4)",2024-03-20
82,11:27:00,微分几何讲义,2024-03-20
83,11:27:00,微分几何入门与广义相对论 3册合集,2024-03-20
84,11:27:00,微分几何讲义（修订版）,2024-03-20
258,11:25:00,Handbook of differential geometry,2024-03-20
259,11:25:00,Handbook of Differential Geometry,2024-03-20
260,11:24:00,Geometric mechanics and symmetry: From finite to infinite dimensions,2024-03-20
261,11:23:00,Elementary Differential Geometry,2024-03-20
85,09:36:00,Communications of the ACM - March 2022,2024-03-20
86,09:36:00,Communications of the ACM - June 2021,2024-03-20
87,09:36:00,Communications of the ACM - April 2022,2024-03-20
262,09:30:00,Communications of the ACM - September 2019 (magazine),2024-03-20
263,09:28:00,Communications of the ACM - January 2020,2024-03-20
264,09:28:00,人工智能中的深度结构学习,2024-03-20
265,09:27:00,Handbook on Neural Information Processing,2024-03-20
266,09:26:00,Communications of the ACM - June 2019,2024-03-20
267,09:25:00,科学之路-Yann LeCun自传,2024-03-20
88,07:56:00,有限元分析基础教程 Fundamentals of Finite Element Analysis,2024-03-20
89,07:56:00,基于ANSYS平台有限元分析手册结构的建模的分析,2024-03-20
268,09:43:00,Sparse and Redundant Representations: From Theory to Applications in Signal and Image Processing,2024-03-19
269,09:23:00,现代信号分析和处理,2024-03-19
270,09:18:00,Beyond the Worst-Case Analysis of Algorithms,2024-03-19
271,08:47:00,Compressed sensing and its applications: 2 MATHEON conf. 2015,2024-03-19
272,08:47:00,Compressive sensing of earth observations,2024-03-19
273,08:47:00,"New Trends in Applied Harmonic Analysis: Sparse Representations, Compressed Sensing, and Multifractal Analysis",2024-03-19
274,08:47:00,Compressed sensing for engineers,2024-03-19
275,08:47:00,Compressed sensing in radar signal processing,2024-03-19
276,08:46:00,Compressed Sensing : Theory and Applications,2024-03-19
277,08:46:00,A Mathematical Introduction to Compressive Sensing,2024-03-19
90,14:12:00,"The Strangest Man: The Hidden Life of Paul Dirac, Mystic of the Atom",2024-03-18
91,11:55:00,物理学的方向,2024-03-18
92,11:54:00,Paul Dirac. The Man and His Work,2024-03-18
93,11:54:00,"The Strangest Man: The Hidden Life of Paul Dirac, Quantum Genius",2024-03-18
278,14:33:00,Deep Learning With Pytorch,2024-03-17
279,14:33:00,"Deep Learning for Time Series Forecasting - Predict the Future with MLPs, CNNs and LSTMs in Python",2024-03-17
280,14:33:00,TensorFlow深度学习 = Deep learning with TensorFlow,2024-03-17
281,14:33:00,Advances in Deep Learning,2024-03-17
282,14:33:00,"Deep Learning with Python, 2nd Edition (Final Release)",2024-03-17
